,AddressType,AddressName,StreetAddress,StreetAddress2,Suburb,City,Region,Country,PostalCode,IsDefault,DeliveryInstruction,Guid
0,,,,,,,,,,False,,8bd5b1cd-3d9d-49d8-ab79-9b2cb24ab870
1,,,,,,,,,,False,,7deb9836-1941-458b-bde7-beef5f6af037
2,,,,,,,,,,False,,73ebefc8-6548-4ef6-a08a-f40565106fd3
3,,,,,,,,,,False,,9a2a6dad-970a-4668-8a24-3521e64bfaa2
4,,,,,,,,,,False,,21bbcdc7-3220-4eeb-98f9-583ddbc31b77
5,,,,,,,,,,False,,422b2acc-f283-42a0-8371-83d91fdc3361
6,,,,,,,,,,False,,d43458db-dad7-4ea0-8f22-20368f9db01c
7,,,,,,,,,,False,,138d3fe6-73be-4542-8058-355b56e71eeb
8,,,,,,,,,,False,,4b4c9f62-e62e-4847-bed9-de28ebf631e1
9,,,,,,,,,,False,,2963157b-d83b-455c-a53a-9d466f4a954a
10,,,,,,,,,,False,,0bf79d3a-265d-4aa1-864e-3e8e3df16b83
11,,,,,,,,,,False,,481a8c73-edcb-40cc-b6e4-b5a955367fa8
12,,,,,,,,,,False,,60b0455e-82a7-482d-926a-dc50537a8614
13,,,,,,,,,,False,,d1dbc8f8-d962-4162-b635-eb7361c3aa68
14,,,,,,,,,,False,,34f30f0e-bed0-4011-90a6-14a2b33452fa
15,,,,,,,,,,False,,dbd1a773-b43f-4cd5-ab99-cf217725f841
16,,,,,,,,,,False,,e991ce80-e5c2-45c8-940c-ad3ac21ceb5a
17,,,,,,,,,,False,,73fc0d84-5a37-4d86-a8ad-caf05fe5c37d
18,,,,,,,,,,False,,9906a067-50ee-439f-b583-b54246926629
19,,,,,,,,,,False,,885533f7-f55b-4bfa-b677-2d253a7ab393
20,,,,,,,,,,False,,2b8fbd3a-56f5-45fe-bea7-ab6a823147c8
21,,,,,,,,,,False,,8ebb8660-0208-4b3e-bd43-940b6b900b28
22,,,,,,,,,,False,,d8004a55-ff9b-4afb-919a-b1b08e8ab33c
23,,,,,,,,,,False,,98dffe88-1fa7-4c65-b223-3e02f9301495
24,,,,,,,,,,False,,0ef46fec-0271-455a-b012-6c3a5f3c8eb5
25,,,,,,,,,,False,,234e8a7b-7512-4e93-a8ed-f383832824f8
26,,,,,,,,,,False,,d4e2c4c1-2a98-4447-83bb-18063733e734
27,,,,,,,,,,False,,78183468-eb88-49e2-a3a9-5d487b1e5c60
28,,,,,,,,,,False,,7a3be0f0-7c37-4641-8de1-9b3fa46c9142
29,,,,,,,,,,False,,5d5a0fea-156b-4c36-9359-3a9ab6a38be5
30,,,,,,,,,,False,,ef84c962-e197-498e-839d-5cf197054074
31,,,,,,,,,,False,,ccc5d03d-b359-4873-90f4-57b7aa5706f6
32,,,,,,,,,,False,,34212cae-129d-4aab-83b6-d42071b9c251
33,,,,,,,,,,False,,ff9dccf5-dc8d-4040-8193-987b85ad2a64
34,,,,,,,,,,False,,574d1be4-4cad-4364-a452-cfba272ac05d
35,,,,,,,,,,False,,892e9dc7-088c-4770-bae3-ac4d91dde256
36,,,,,,,,,,False,,86120795-28cc-4d4c-b1d0-91e8825927f8
37,,,,,,,,,,False,,9fb4520d-89c8-4649-b00a-e1ad68149295
38,,,,,,,,,,False,,b1246f12-d13b-4582-9248-c14593a395f2
39,,,,,,,,,,False,,f3453b0d-00e2-4211-b1ee-478faa125e4c
40,,,,,,,,,,False,,0688f902-7d7e-4d88-8329-12b607ad9c21
41,,,,,,,,,,False,,f4cc033f-4335-478f-b007-adb8cb747d55
42,,,,,,,,,,False,,614abefc-82ce-4906-b3dd-bc889218173f
43,,,,,,,,,,False,,09cee18e-e98a-49ea-bc73-81573f3a0346
44,,,,,,,,,,False,,5e9b6d2b-f772-4508-9600-7af2d204d6ec
45,,,,,,,,,,False,,9ab67b7e-9ea7-42cf-b5f5-ab69cdd23c02
46,,,,,,,,,,False,,d727e46a-2661-4702-bea2-fd47e9ce1a2b
47,,,,,,,,,,False,,859d58d1-5f31-48df-9f23-336284270ab0
48,,,,,,,,,,False,,f0832f29-8f26-466a-bd46-2c2f1d15b351
49,,,,,,,,,,False,,2984c57d-8709-4e5c-b58c-a0804612ad91
50,,,,,,,,,,False,,8a162ba8-6f6d-4c6b-9281-9a46244c3dd0
51,,,,,,,,,,False,,5f80e798-1928-4d04-8acb-892143d0b920
52,,,,,,,,,,False,,404cecd7-1a0b-42c0-a544-bbba417dd0c8
53,,,,,,,,,,False,,e0499f13-bcfa-4d2b-bd3d-667b51abe426
54,,,,,,,,,,False,,e55df563-01bc-4082-a134-0c7ac775cd02
55,,,,,,,,,,False,,7f275d32-a723-476e-baad-6d2567410851
56,,,,,,,,,,False,,a0945bfe-91f1-4c0e-bd67-bf5eb9f937b2
57,,,,,,,,,,False,,66084510-e17f-4d58-9e13-8bb4a5a6cb0c
58,,,,,,,,,,False,,5ec794e8-b327-44c8-9877-1773b5ea447b
59,,,,,,,,,,False,,18f7ccf0-9ad7-483d-bd84-c5c9fb5c66e0
60,,,,,,,,,,False,,55c3df73-b7f1-4ecc-a383-dacd66480045
61,,,,,,,,,,False,,70e4fb05-2460-42cb-a443-cd7ac9b2d3a1
62,,,,,,,,,,False,,5d33ceac-f510-455f-a95e-65e9e4c7f19c
63,,,,,,,,,,False,,16e89c90-b082-47ab-beff-63daa43fe5aa
64,,,,,,,,,,False,,302845c9-fb59-4ffe-b595-adcdb09b4956
