,InvoiceNumber,OrderNumber,QuoteNumber,InvoiceDate,DueDate,InvoiceStatus,Customer,Comments,PostalAddress,DeliveryAddress,DeliveryInstruction,SubTotal,TaxTotal,Total,BCSubTotal,BCTaxTotal,BCTotal,CreatedBy,PaymentTerm,InvoiceLines,Guid,LastModifiedOn
0,SI-00000123,SO-00000123,,2021-06-14 13:02:13.916,2021-07-14 13:02:13.916,Completed,"{'CustomerCode': 'GAR123', 'CustomerName': 'Garrick Inc.', 'CurrencyId': 8, 'Guid': '1a2d2582-8fe3-4a19-9cdf-86ca44e1ee30', 'LastModifiedOn': '/Date(1623718933943)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,4163.5,624.53,4788.03,4386.33,657.95,5044.28,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': 'fa8403d6-b438-4b4c-ad47-96c5ca686c98', 'ProductCode': 'SHELF', 'ProductDescription': 'Bookshelf Shelf'}, 'OrderQuantity': 30.0, 'InvoiceQuantity': 30.0, 'UnitPrice': 124.95, 'DiscountRate': 0.0, 'LineTotal': 3748.5, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 562.28, 'BCUnitPrice': 131.6372, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '3ef22ccf-e85f-4adc-921b-c9ea9a7e978e', 'LastModifiedOn': '/Date(1623632533916)/'}, {'LineNumber': 2, 'LineType': None, 'Product': {'Guid': 'db69788b-b294-4cd3-9948-558912bbda80', 'ProductCode': 'STAIN', 'ProductDescription': 'Dark Wood Stain'}, 'OrderQuantity': 2.0, 'InvoiceQuantity': 2.0, 'UnitPrice': 147.5, 'DiscountRate': 0.0, 'LineTotal': 295.0, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 44.25, 'BCUnitPrice': 155.394, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'fb8d5bf8-b3ae-45c1-b60e-83edc8872f61', 'LastModifiedOn': '/Date(1623632533916)/'}, {'LineNumber': 3, 'LineType': None, 'Product': {'Guid': '92749139-34bf-44a7-bfb1-e0aff00e137a', 'ProductCode': 'COUCH2', 'ProductDescription': '2-Seater Couch'}, 'OrderQuantity': 10.0, 'InvoiceQuantity': 10.0, 'UnitPrice': 12.0, 'DiscountRate': 0.0, 'LineTotal': 120.0, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 18.0, 'BCUnitPrice': 12.6422, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'eb73f8a8-40d4-4713-b4a9-d9a17839cddb', 'LastModifiedOn': '/Date(1623632533916)/'}]",8bd5b1cd-3d9d-49d8-ab79-9b2cb24ab870,2021-06-14 13:02:13.916
1,SI-00000122,SO-00000122,,2021-06-13 13:02:13.916,2021-07-13 13:02:13.916,Completed,"{'CustomerCode': 'SIREEN', 'CustomerName': 'The House of Sireen', 'CurrencyId': 48, 'Guid': '1e6c005c-54e8-4af5-bbb1-63d2a7617552', 'LastModifiedOn': '/Date(1623718933940)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,19980.0,2997.0,22977.0,44959.5,6743.93,51703.43,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': 'e57b4130-ca43-429d-9adf-2d88086d8b3d', 'ProductCode': 'CHAIR', 'ProductDescription': 'Lounge Chair'}, 'OrderQuantity': 20.0, 'InvoiceQuantity': 20.0, 'UnitPrice': 999.0, 'DiscountRate': 0.0, 'LineTotal': 19980.0, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 2997.0, 'BCUnitPrice': 2247.9748, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '8183258c-f35e-4cf0-9983-3315b8abdbf9', 'LastModifiedOn': '/Date(1623546133916)/'}]",7deb9836-1941-458b-bde7-beef5f6af037,2021-06-13 13:02:13.916
2,SI-00000121,SO-00000121,,2021-06-10 13:02:13.916,2021-07-10 13:02:13.916,Completed,"{'CustomerCode': 'BENEMP', 'CustomerName': ""Ben's Emporium"", 'CurrencyId': 110, 'Guid': 'f1cf4667-6c86-4a05-8794-7ff64a2fe74f', 'LastModifiedOn': '/Date(1623926605677)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,16990.0,2548.5,19538.5,16990.0,2548.5,19538.5,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': '861fd41a-9cbb-49b1-b35f-651867ef6503', 'ProductCode': 'SIDE', 'ProductDescription': 'Bookshelf Side'}, 'OrderQuantity': 10.0, 'InvoiceQuantity': 10.0, 'UnitPrice': 1699.0, 'DiscountRate': 0.0, 'LineTotal': 16990.0, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 2548.5, 'BCUnitPrice': 1699.0, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '8590fa36-35ca-4894-b8db-95ca8af5e72a', 'LastModifiedOn': '/Date(1623286933916)/'}]",73ebefc8-6548-4ef6-a08a-f40565106fd3,2021-06-10 13:02:13.916
3,SI-00000120,SO-00000120,,2021-06-08 13:02:13.916,2021-07-08 13:02:13.916,Completed,"{'CustomerCode': 'LMH001', 'CustomerName': 'LMH Industries', 'CurrencyId': 110, 'Guid': 'f3b59598-528f-4102-85d3-1f451595add1', 'LastModifiedOn': '/Date(1623718933943)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,1770.0,0.0,1770.0,1770.0,0.0,1770.0,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': 'db69788b-b294-4cd3-9948-558912bbda80', 'ProductCode': 'STAIN', 'ProductDescription': 'Dark Wood Stain'}, 'OrderQuantity': 12.0, 'InvoiceQuantity': 12.0, 'UnitPrice': 147.5, 'DiscountRate': 0.0, 'LineTotal': 1770.0, 'Comments': None, 'TaxRate': 0.0, 'LineTax': 0.0, 'BCUnitPrice': 147.5, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'b6da5599-332c-482a-8e58-e3600a8283e1', 'LastModifiedOn': '/Date(1623114133916)/'}]",9a2a6dad-970a-4668-8a24-3521e64bfaa2,2021-06-08 13:02:13.916
4,SI-00000119,SO-00000119,,2021-06-05 13:02:13.916,2021-07-05 13:02:13.916,Completed,"{'CustomerCode': 'MATSUP', 'CustomerName': ""Matt's Supplies Ltd."", 'CurrencyId': 8, 'Guid': 'e482e0be-f1b2-4e28-9094-88de57237846', 'LastModifiedOn': '/Date(1623718933940)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,3123.75,468.56,3592.31,3290.93,493.64,3784.57,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': 'fa8403d6-b438-4b4c-ad47-96c5ca686c98', 'ProductCode': 'SHELF', 'ProductDescription': 'Bookshelf Shelf'}, 'OrderQuantity': 25.0, 'InvoiceQuantity': 25.0, 'UnitPrice': 124.95, 'DiscountRate': 0.0, 'LineTotal': 3123.75, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 468.56, 'BCUnitPrice': 131.6372, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '55388fa2-477a-4e91-9772-5d12a56059a7', 'LastModifiedOn': '/Date(1622854933916)/'}]",21bbcdc7-3220-4eeb-98f9-583ddbc31b77,2021-06-05 13:02:13.916
5,SI-00000118,SO-00000118,,2021-06-03 13:02:13.916,2021-07-03 13:02:13.916,Completed,"{'CustomerCode': 'WADE', 'CustomerName': ""Wade's Apparel & Accessories"", 'CurrencyId': 110, 'Guid': '56de6b21-37c3-4aa8-a885-3da3490689aa', 'LastModifiedOn': '/Date(1623718933946)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,9999.96,1499.99,11499.95,9999.96,1499.99,11499.95,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': '871bcd30-c636-4fe2-a5a0-734bdf961b6c', 'ProductCode': 'BOOKSHELF', 'ProductDescription': 'Wooden Bookshelf'}, 'OrderQuantity': 4.0, 'InvoiceQuantity': 4.0, 'UnitPrice': 2499.99, 'DiscountRate': 0.0, 'LineTotal': 9999.96, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 1499.99, 'BCUnitPrice': 2499.99, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '72daf95f-af88-4793-99a9-87a78a71f8e6', 'LastModifiedOn': '/Date(1622682133916)/'}]",422b2acc-f283-42a0-8371-83d91fdc3361,2021-06-03 13:02:13.916
6,SI-00000117,SO-00000117,,2021-05-31 13:02:13.916,2021-06-30 13:02:13.916,Completed,"{'CustomerCode': 'GBRO', 'CustomerName': 'Griffin Brothers Fabrication Ltd.', 'CurrencyId': 8, 'Guid': '66b78e78-72de-4ce6-8273-4714d1eef780', 'LastModifiedOn': '/Date(1623718933946)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,19999.92,2999.99,22999.91,21070.29,3160.54,24230.83,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': '871bcd30-c636-4fe2-a5a0-734bdf961b6c', 'ProductCode': 'BOOKSHELF', 'ProductDescription': 'Wooden Bookshelf'}, 'OrderQuantity': 8.0, 'InvoiceQuantity': 8.0, 'UnitPrice': 2499.99, 'DiscountRate': 0.0, 'LineTotal': 19999.92, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 2999.99, 'BCUnitPrice': 2633.7863, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '13de7b9c-11e9-4b76-960e-31d539f00ffe', 'LastModifiedOn': '/Date(1622422933916)/'}]",d43458db-dad7-4ea0-8f22-20368f9db01c,2021-05-31 13:02:13.916
7,SI-00000116,SO-00000116,,2021-05-28 13:02:13.916,2021-06-27 13:02:13.916,Completed,"{'CustomerCode': 'LMH001', 'CustomerName': 'LMH Industries', 'CurrencyId': 110, 'Guid': 'f3b59598-528f-4102-85d3-1f451595add1', 'LastModifiedOn': '/Date(1623718933943)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,10194.0,0.0,10194.0,10194.0,0.0,10194.0,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': '861fd41a-9cbb-49b1-b35f-651867ef6503', 'ProductCode': 'SIDE', 'ProductDescription': 'Bookshelf Side'}, 'OrderQuantity': 6.0, 'InvoiceQuantity': 6.0, 'UnitPrice': 1699.0, 'DiscountRate': 0.0, 'LineTotal': 10194.0, 'Comments': None, 'TaxRate': 0.0, 'LineTax': 0.0, 'BCUnitPrice': 1699.0, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'b702e4bc-16dc-464f-9751-4165961e7d87', 'LastModifiedOn': '/Date(1622163733916)/'}]",138d3fe6-73be-4542-8058-355b56e71eeb,2021-05-28 13:02:13.916
8,SI-00000115,SO-00000115,,2021-05-24 13:02:13.916,2021-06-23 13:02:13.916,Completed,"{'CustomerCode': 'FRANCK', 'CustomerName': 'Franck & Co.', 'CurrencyId': 151, 'Guid': '92cc4f48-4627-45fb-b95c-2358911c9060', 'LastModifiedOn': '/Date(1623718933940)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,2087.08,313.07,2400.15,3103.46,465.52,3568.98,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': '01184e86-570a-4a68-ba0d-9ae46e6d4f5e', 'ProductCode': 'SCREWS', 'ProductDescription': 'Box of Screws'}, 'OrderQuantity': 30.0, 'InvoiceQuantity': 30.0, 'UnitPrice': 4.99, 'DiscountRate': 0.0, 'LineTotal': 149.7, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 22.46, 'BCUnitPrice': 7.4201, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '484d3196-1236-4015-9883-3e37e4b48cd6', 'LastModifiedOn': '/Date(1621818133916)/'}, {'LineNumber': 2, 'LineType': None, 'Product': {'Guid': '7b0eda5d-b873-4cd5-8ca0-0d4d279bfbb8', 'ProductCode': 'DINING', 'ProductDescription': ' Dining Table'}, 'OrderQuantity': 12.0, 'InvoiceQuantity': 12.0, 'UnitPrice': 99.99, 'DiscountRate': 0.0, 'LineTotal': 1199.88, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 179.98, 'BCUnitPrice': 148.684, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': '7da709f5-4ba2-4d1e-b990-68fcc3e6409d', 'LastModifiedOn': '/Date(1621818133916)/'}, {'LineNumber': 3, 'LineType': None, 'Product': {'Guid': 'db69788b-b294-4cd3-9948-558912bbda80', 'ProductCode': 'STAIN', 'ProductDescription': 'Dark Wood Stain'}, 'OrderQuantity': 5.0, 'InvoiceQuantity': 5.0, 'UnitPrice': 147.5, 'DiscountRate': 0.0, 'LineTotal': 737.5, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 110.63, 'BCUnitPrice': 219.3309, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'df306a5d-f969-4665-b85d-14f5a08f9f03', 'LastModifiedOn': '/Date(1621818133916)/'}]",4b4c9f62-e62e-4847-bed9-de28ebf631e1,2021-05-24 13:02:13.916
9,SI-00000114,SO-00000114,,2021-05-21 13:02:13.916,2021-06-20 13:02:13.916,Completed,"{'CustomerCode': 'BENEMP', 'CustomerName': ""Ben's Emporium"", 'CurrencyId': 110, 'Guid': 'f1cf4667-6c86-4a05-8794-7ff64a2fe74f', 'LastModifiedOn': '/Date(1623926605677)/'}",,,"{'AddressType': None, 'AddressName': None, 'StreetAddress': None, 'StreetAddress2': None, 'Suburb': None, 'City': None, 'Region': None, 'Country': None, 'PostalCode': None, 'IsDefault': False, 'DeliveryInstruction': None}",,19980.0,2997.0,22977.0,19980.0,2997.0,22977.0,admin,,"[{'LineNumber': 1, 'LineType': None, 'Product': {'Guid': 'e57b4130-ca43-429d-9adf-2d88086d8b3d', 'ProductCode': 'CHAIR', 'ProductDescription': 'Lounge Chair'}, 'OrderQuantity': 20.0, 'InvoiceQuantity': 20.0, 'UnitPrice': 999.0, 'DiscountRate': 0.0, 'LineTotal': 19980.0, 'Comments': None, 'TaxRate': 0.15, 'LineTax': 2997.0, 'BCUnitPrice': 999.0, 'SerialNumbers': None, 'BatchNumbers': None, 'Guid': 'e5acf4b9-437f-4ba5-89fc-31dfb0867e7d', 'LastModifiedOn': '/Date(1621558933916)/'}]",2963157b-d83b-455c-a53a-9d466f4a954a,2021-05-21 13:02:13.916
